,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
2015-10-02,0.6787829995155334,0.7092040181159973,0.6754819750785828,0.6871709823608398,0.6871709823608398,163326.0,ETH-USD,3.176297,0.9897890090942384,2.489125967025757,0.0
2015-10-03,0.6863430142402649,0.6931260228157043,0.6607159972190857,0.668379008769989,0.668379008769989,103497.0,ETH-USD,3.182116,1.0133600234985352,2.5137370228767395,0.0
2015-10-06,0.6505150198936462,0.6563010215759277,0.6024230122566223,0.609387993812561,0.609387993812561,218327.0,ETH-USD,3.1566439,0.9260320067405701,2.5472558736801147,0.0
2015-10-11,0.6345149874687195,0.6577889919281006,0.6260300278663635,0.6260300278663635,0.6260300278663635,109567.0,ETH-USD,3.2158742,0.791828989982605,2.5898441672325134,0.0
2015-10-18,0.5176209807395935,0.5215460062026978,0.48099398612976074,0.48901399970054626,0.48901399970054626,243742.0,ETH-USD,2.9887795,0.9933189749717712,2.499765545129776,0.0
2015-10-24,0.5632069706916809,0.6881920099258423,0.5613830089569092,0.616038978099823,0.616038978099823,635384.0,ETH-USD,3.1016803,0.9001910090446472,2.485641300678253,0.0
2015-10-26,0.6197429895401001,0.7575169801712036,0.5970979928970337,0.7313169836997986,0.7313169836997986,1089120.0,ETH-USD,3.1965246,0.8635370135307312,2.4652076363563538,0.0
2015-10-28,0.8709380030632019,1.0557899475097656,0.8078569769859314,1.0024800300598145,1.0024800300598145,2373050.0,ETH-USD,3.5006027,0.867950975894928,0.0,-2.4981226921081543
2015-11-08,0.9156609773635864,1.0326800346374512,0.9156609773635864,1.0274699926376343,1.0274699926376343,1021460.0,ETH-USD,3.5176454,0.8221179842948914,0.0,-2.4901753664016724
2015-11-10,1.0012600421905518,1.0530400276184082,0.9209679961204529,0.9343479871749878,0.9343479871749878,854581.0,ETH-USD,3.6036649,0.840395987033844,0.0,-2.66931688785553
2015-11-11,0.9412959814071655,0.945277988910675,0.7297750115394592,0.791828989982605,0.791828989982605,1278580.0,ETH-USD,3.544203,0.9297620058059692,2.752374053001404,0.0
2015-11-27,0.882099986076355,0.9000509977340698,0.8606950044631958,0.867950975894928,0.867950975894928,403813.0,ETH-USD,3.449706,0.8563650250434875,0.0,-2.5817551016807556
2015-11-28,0.8681020140647888,0.9292929768562317,0.8621219992637634,0.9157029986381531,0.9157029986381531,462464.0,ETH-USD,3.4731667,0.8450049757957458,0.0,-2.5574637055397034
2015-12-01,0.8783159852027893,0.8867359757423401,0.8539369702339172,0.8748000264167786,0.8748000264167786,652857.0,ETH-USD,3.536508,0.933542013168335,2.6617080569267273,0.0
2015-12-02,0.8731709718704224,0.878017008304596,0.8189240097999573,0.8212100267410278,0.8212100267410278,506307.0,ETH-USD,3.544722,0.9480239748954773,2.723512053489685,0.0
2015-12-09,0.8244540095329285,0.8244540095329285,0.7704880237579346,0.7921670079231262,0.7921670079231262,624221.0,ETH-USD,3.4887886,0.9867889881134033,2.696621596813202,0.0
2015-12-17,0.9930430054664612,0.9976109862327576,0.9118070006370544,0.9407010078430176,0.9407010078430176,640765.0,ETH-USD,3.5618324,1.220289945602417,2.621131420135498,0.0
2015-12-29,0.8438349962234497,0.873054027557373,0.8332319855690002,0.873054027557373,0.873054027557373,215742.0,ETH-USD,3.4641783,2.5264899730682377,2.5911242961883545,0.0
2016-01-02,0.9474009871482849,0.9696369767189026,0.9365599751472473,0.9371240139007568,0.9371240139007568,255504.0,ETH-USD,3.5462787,2.2116899490356445,2.60915470123291,0.0
2016-01-05,0.9531469941139221,0.9705970287322998,0.9465429782867432,0.9501760005950928,0.9501760005950928,219833.0,ETH-USD,3.5560412,2.5780398845672607,2.605865240097046,0.0
2016-01-21,1.5326999425888062,1.5854899883270264,1.4866900444030762,1.553570032119751,1.553570032119751,1614960.0,ETH-USD,4.264777,4.341330051422119,2.711207151412964,0.0
2016-01-22,1.547029972076416,1.5814599990844727,1.465880036354065,1.501270055770874,1.501270055770874,1567240.0,ETH-USD,4.279868,4.653619766235352,2.7785980701446533,0.0
2016-01-26,2.5327401161193848,2.8369901180267334,1.9947700500488281,2.276370048522949,2.276370048522949,13939200.0,ETH-USD,5.2853184,6.104800224304199,3.00894832611084,0.0
2016-02-11,4.496819972991943,6.292230129241943,4.3383002281188965,6.0131001472473145,6.0131001472473145,26408200.0,ETH-USD,8.216248,13.533300399780273,2.2031474113464355,0.0
2016-02-16,5.328320026397705,5.474860191345215,4.033840179443359,4.3152899742126465,4.3152899742126465,15889100.0,ETH-USD,8.390349,11.081500053405762,4.075059413909912,0.0
2016-02-20,4.682199954986572,4.754059791564941,4.12706995010376,4.341330051422119,4.341330051422119,8631090.0,ETH-USD,7.387367,11.864100456237793,3.046036720275879,0.0
2016-02-24,5.604050159454346,6.2364702224731445,5.509250164031982,6.2364702224731445,6.2364702224731445,11426500.0,ETH-USD,9.130863,10.743200302124023,2.894392967224121,0.0
2016-03-07,11.428799629211426,11.651900291442871,9.309490203857422,9.552630424499512,9.552630424499512,34085100.0,ETH-USD,15.056159,10.685400009155273,5.503528594970703,0.0
2016-03-09,9.792420387268066,12.054699897766113,9.670989990234375,11.89799976348877,11.89799976348877,27540500.0,ETH-USD,14.415733,9.719590187072754,0.0,-2.517733573913574
2016-03-21,10.30370044708252,12.014900207519531,10.161600112915039,11.864100456237793,11.864100456237793,28572600.0,ETH-USD,14.606516,8.465789794921877,0.0,-2.742415428161621
2016-03-25,11.260299682617188,11.372900009155273,10.527199745178223,10.743200302124023,10.743200302124023,13782000.0,ETH-USD,14.910174,8.001350402832031,0.0,-4.166974067687988
2016-03-26,10.767900466918945,11.180800437927246,10.589200019836426,10.973999977111816,10.973999977111816,9425480.0,ETH-USD,14.340706,7.55433988571167,0.0,-3.366705894470215
2016-03-29,11.605299949645996,12.178500175476074,11.469200134277344,11.952899932861328,11.952899932861328,19351200.0,ETH-USD,14.589908,7.457290172576904,0.0,-2.637007713317871
2016-04-02,11.628299713134766,11.706399917602539,11.508700370788574,11.618300437927246,11.618300437927246,5580550.0,ETH-USD,14.977371,9.311269760131836,0.0,-3.3590707778930664
2016-04-05,10.449799537658691,10.970000267028809,10.277299880981445,10.685400009155273,10.685400009155273,16997100.0,ETH-USD,14.121111,9.346639633178711,0.0,-3.435710906982422
